id,name
71764,Course75
71724,Course35
71738,Course49
71725,Course36
71783,Course94
71716,Course27
71709,Course20
71749,Course60
71755,Course66
71708,Course19
71690,Course1
71752,Course63
71788,Course99
71703,Course14
71739,Course50
71745,Course56
71740,Course51
71730,Course41
71714,Course25
71722,Course33
71751,Course62
71734,Course45
71695,Course6
71760,Course71
71704,Course15
71700,Course11
71781,Course92
71770,Course81
71768,Course79
71784,Course95
71721,Course32
71733,Course44
71711,Course22
71726,Course37
71694,Course5
71748,Course59
71757,Course68
71720,Course31
71765,Course76
71761,Course72
71763,Course74
71741,Course52
71779,Course90
71766,Course77
71712,Course23
71759,Course70
71754,Course65
71776,Course87
71747,Course58
71762,Course73
71696,Course7
71718,Course29
71743,Course54
71697,Course8
71769,Course80
71731,Course42
71785,Course96
71744,Course55
71775,Course86
71777,Course88
71782,Course93
71773,Course84
71729,Course40
71707,Course18
71717,Course28
71702,Course13
71705,Course16
71701,Course12
71715,Course26
71693,Course4
71691,Course2
71728,Course39
71767,Course78
71771,Course82
71692,Course3
id,name,topic,url,hours
