id,name
73436,Course49
73448,Course61
73395,Course8
73389,Course2
73417,Course30
73466,Course79
73479,Course92
73425,Course38
73432,Course45
73468,Course81
73464,Course77
73452,Course65
73470,Course83
73456,Course69
73406,Course19
73412,Course25
73460,Course73
73477,Course90
73471,Course84
73431,Course44
73387,Course0
73427,Course40
73476,Course89
73418,Course31
73405,Course18
73403,Course16
73414,Course27
73467,Course80
73420,Course33
73426,Course39
73430,Course43
73485,Course98
73438,Course51
73472,Course85
73435,Course48
73402,Course15
73461,Course74
73484,Course97
73399,Course12
73445,Course58
73446,Course59
73474,Course87
73408,Course21
73411,Course24
73394,Course7
73413,Course26
73390,Course3
73397,Course10
73437,Course50
73423,Course36
73459,Course72
73409,Course22
73391,Course4
73447,Course60
73424,Course37
73483,Course96
73462,Course75
73450,Course63
73428,Course41
73441,Course54
73444,Course57
73475,Course88
73396,Course9
73422,Course35
73443,Course56
73419,Course32
73434,Course47
73401,Course14
73440,Course53
73469,Course82
73486,Course99
id,name,topic,url,hours
