7309,WebCourse44,topic68,http://example.com/webcourse/49,14
7364,WebCourse99,topic4,http://example.com/webcourse/77,11
7350,WebCourse85,topic10,http://example.com/webcourse/24,9
7287,WebCourse22,topic33,http://example.com/webcourse/146,11
7351,WebCourse86,topic105,http://example.com/webcourse/40,10
7322,WebCourse57,topic100,http://example.com/webcourse/118,13
7349,WebCourse84,topic22,http://example.com/webcourse/137,11
7329,WebCourse64,topic86,http://example.com/webcourse/126,9
7333,WebCourse68,topic38,http://example.com/webcourse/85,10
7317,WebCourse52,topic56,http://example.com/webcourse/118,17
7295,WebCourse30,topic139,http://example.com/webcourse/27,9
7276,WebCourse11,topic124,http://example.com/webcourse/16,15
7266,WebCourse1,topic97,http://example.com/webcourse/53,17
7275,WebCourse10,topic134,http://example.com/webcourse/98,10
7301,WebCourse36,topic28,http://example.com/webcourse/15,14
7294,WebCourse29,topic88,http://example.com/webcourse/135,10
7271,WebCourse6,topic20,http://example.com/webcourse/146,16
7289,WebCourse24,topic56,http://example.com/webcourse/96,13
7300,WebCourse35,topic121,http://example.com/webcourse/42,15
7265,WebCourse0,topic8,http://example.com/webcourse/68,14
7273,WebCourse8,topic100,http://example.com/webcourse/70,13
7282,WebCourse17,topic86,http://example.com/webcourse/93,9
7328,WebCourse63,topic49,http://example.com/webcourse/81,12
7307,WebCourse42,topic98,http://example.com/webcourse/130,16
7293,WebCourse28,topic129,http://example.com/webcourse/52,12
7357,WebCourse92,topic79,http://example.com/webcourse/119,16
7306,WebCourse41,topic64,http://example.com/webcourse/63,14
7315,WebCourse50,topic30,http://example.com/webcourse/80,14
7310,WebCourse45,topic105,http://example.com/webcourse/31,9
7272,WebCourse7,topic107,http://example.com/webcourse/63,10
7304,WebCourse39,topic115,http://example.com/webcourse/130,15
7268,WebCourse3,topic148,http://example.com/webcourse/150,14
7297,WebCourse32,topic22,http://example.com/webcourse/110,16
7316,WebCourse51,topic137,http://example.com/webcourse/14,17
7334,WebCourse69,topic61,http://example.com/webcourse/17,14
7356,WebCourse91,topic111,http://example.com/webcourse/16,10
7270,WebCourse5,topic66,http://example.com/webcourse/57,17
7291,WebCourse26,topic26,http://example.com/webcourse/19,13
7335,WebCourse70,topic15,http://example.com/webcourse/9,11
7278,WebCourse13,topic8,http://example.com/webcourse/2,11
7338,WebCourse73,topic79,http://example.com/webcourse/108,16
7359,WebCourse94,topic18,http://example.com/webcourse/100,17
7314,WebCourse49,topic1,http://example.com/webcourse/120,13
7362,WebCourse97,topic15,http://example.com/webcourse/127,13
7267,WebCourse2,topic53,http://example.com/webcourse/71,11
7313,WebCourse48,topic111,http://example.com/webcourse/67,15
7305,WebCourse40,topic48,http://example.com/webcourse/35,13
7323,WebCourse58,topic42,http://example.com/webcourse/122,16
7290,WebCourse25,topic14,http://example.com/webcourse/119,15
7279,WebCourse14,topic140,http://example.com/webcourse/104,17
7344,WebCourse79,topic68,http://example.com/webcourse/93,12
7327,WebCourse62,topic61,http://example.com/webcourse/44,15
7348,WebCourse83,topic86,http://example.com/webcourse/12,15
7355,WebCourse90,topic55,http://example.com/webcourse/59,17
7284,WebCourse19,topic72,http://example.com/webcourse/100,10
7285,WebCourse20,topic23,http://example.com/webcourse/139,12
7274,WebCourse9,topic102,http://example.com/webcourse/68,15
7319,WebCourse54,topic21,http://example.com/webcourse/35,10
7326,WebCourse61,topic2,http://example.com/webcourse/148,16
7312,WebCourse47,topic44,http://example.com/webcourse/143,12
7298,WebCourse33,topic107,http://example.com/webcourse/109,15
7302,WebCourse37,topic3,http://example.com/webcourse/67,15
7332,WebCourse67,topic63,http://example.com/webcourse/77,9
7345,WebCourse80,topic117,http://example.com/webcourse/63,16
7299,WebCourse34,topic125,http://example.com/webcourse/104,12
7339,WebCourse74,topic73,http://example.com/webcourse/144,14
7318,WebCourse53,topic52,http://example.com/webcourse/83,10
7330,WebCourse65,topic80,http://example.com/webcourse/104,11
7320,WebCourse55,topic34,http://example.com/webcourse/78,16
7308,WebCourse43,topic55,http://example.com/webcourse/16,15
7363,WebCourse98,topic62,http://example.com/webcourse/119,13
7286,WebCourse21,topic116,http://example.com/webcourse/70,16
7341,WebCourse76,topic136,http://example.com/webcourse/47,14
