id,name
62718,Course10
62710,Course2
62731,Course23
62750,Course42
62768,Course60
62726,Course18
62708,Course0
62727,Course19
62735,Course27
62733,Course25
62717,Course9
62798,Course90
62782,Course74
62765,Course57
62719,Course11
62720,Course12
62751,Course43
62780,Course72
62796,Course88
62711,Course3
62714,Course6
62799,Course91
62762,Course54
62803,Course95
62766,Course58
62806,Course98
62770,Course62
62723,Course15
62807,Course99
62769,Course61
62756,Course48
62791,Course83
62785,Course77
62716,Course8
62743,Course35
62755,Course47
62737,Course29
62742,Course34
62763,Course55
62736,Course28
62772,Course64
62773,Course65
62747,Course39
62744,Course36
62786,Course78
62748,Course40
62774,Course66
62741,Course33
62724,Course16
62752,Course44
62712,Course4
62739,Course31
62779,Course71
62790,Course82
62788,Course80
62761,Course53
62730,Course22
62722,Course14
62801,Course93
62732,Course24
62725,Course17
62797,Course89
62787,Course79
id,name,topic,url,hours
